prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL217_Ki_CHEMBL897619,619,309,310,140,187,0.879673721340388,0.8687076587013436,True,49,0.04081632653061224,47,"{'ks_neg': (0.06378156319722389, 0.018211920648145474), 'ks_nc': (0.058115296927581106, 0.046273236654635785)}"
CHEMBL217_Ki_CHEMBL902495,619,309,310,134,174,0.8968629904370364,0.8590654887174685,True,64,0.09375,58,"{'ks_neg': (0.07984877992897432, 0.026578073089701), 'ks_nc': (0.05576805385556827, 0.013289036545829025)}"
CHEMBL217_Ki_CHEMBL926379,619,309,310,125,166,0.9041333333333333,0.859550270594384,True,56,0.125,49,"{'ks_neg': (0.08619395615247927, 0.0524590163934463), 'ks_nc': (0.06885245901639342, 0.01147540988484852)}"
CHEMBL218_Ki_CHEMBL1059680,457,228,230,112,116,0.8356537530266344,0.8569896324254376,True,16,0.0,16,"{'ks_neg': (0.12683658170914291, 0.023913044787785775), 'ks_nc': (0.07871853546911001, 0.015217392079023728)}"
CHEMBL218_Ki_CHEMBL1636581,457,228,230,103,112,0.8594144178579619,0.8620963119302536,True,36,0.027777777777777776,35,"{'ks_neg': (0.1024068322981363, 0.05206760849666092), 'ks_nc': (0.11018306636155939, 0.02608695652173913)}"
CHEMBL218_Ki_CHEMBL1952464,457,228,230,101,111,0.8252360119732903,0.8141923932783506,True,71,0.19718309859154928,57,"{'ks_neg': (0.10477869173521026, 0.02429739048384938), 'ks_nc': (0.1080472921434032, 0.02297571733834536)}"
CHEMBL218_Ki_CHEMBL2210669,457,228,230,99,106,0.8279744004934844,0.7806437026980728,True,50,0.14,43,"{'ks_neg': (0.11107465135356737, 0.04646626686139016), 'ks_nc': (0.06048817696414954, 0.03043478260869565)}"
CHEMBL218_Ki_CHEMBL3119424,457,228,230,117,115,0.8072763028515242,0.8413278255866825,True,75,0.16,63,"{'ks_neg': (0.126086956521739, 0.03913043478261291), 'ks_nc': (0.06235697940503793, 0.03913043478261147)}"
CHEMBL218_Ki_CHEMBL3379965,457,228,230,122,117,0.8192167577413478,0.8575990277005819,True,65,0.13846153846153847,56,"{'ks_neg': (0.10289855072463472, 0.04228278921214568), 'ks_nc': (0.04774980930587991, 0.0347826086956613)}"
CHEMBL218_Ki_CHEMBL4235196,457,228,230,112,110,0.8480629539951574,0.8744179783336773,True,59,0.05084745762711865,56,"{'ks_neg': (0.18774703557312133, 0.05524740729000027), 'ks_nc': (0.07368421052631269, 0.01927256958069573)}"
CHEMBL218_Ki_CHEMBL4364974,457,228,230,115,113,0.8514177693761815,0.8644766523158168,True,0,,0,"{'ks_neg': (0.22223932281646674, 0.07582397745940722), 'ks_nc': (0.1015636918382899, 0.015217392536693741)}"
CHEMBL218_Ki_CHEMBL4426136,457,228,230,121,125,0.8254606111153234,0.8610652457725683,True,65,0.15384615384615385,55,"{'ks_neg': (0.18886956521739, 0.03913043493310164), 'ks_nc': (0.09698703279938808, 0.019565217392629952)}"
CHEMBL218_Ki_CHEMBL932400,457,228,230,114,104,0.808832425892317,0.8256640187829282,True,44,0.06818181818181818,41,"{'ks_neg': (0.1581939799331089, 0.07081462427184315), 'ks_nc': (0.10652173913043883, 0.019565217474210445)}"
CHEMBL222_IC50_CHEMBL1012269,379,189,190,73,116,0.9000117082308863,0.8674633794991811,True,21,0.047619047619047616,20,"{'ks_neg': (0.09029038112522714, 0.023684210551135787), 'ks_nc': (0.09133945976051255, 0.02368421082933536)}"
