smiles,00a2afcaf74127670fee80a7ab6abfce,095fb41a59ca6f9f7711a6343b066366,3c201c7b515ba38b493832d7d6ce9bd5,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,aab458b586520ad6a82e21e396e745fa,ad44e8c3c329d29118132e14ebb7d57f,c6eb716f36a79621c8c73c735dd764f1,d410a79829f7b5969e91eeb2e7aa14d8,ef3b4627f9961bac2d0298e9d8390ece
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0
C#CCN(CCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C(C)C)cc1,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C)cc1,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(F)c(F)c1,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccc(OC)cc1,0.0,0.0,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(F)c1,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC)c1,0.0,0.0,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCCOc1ccc2ccc(=O)oc2c1)Cc1ccccc1,0.0,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C(C)C)cc1,0.0,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(C)cc1,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0
